time,gFx,gFy,gFz,TgF
0.005000,-0.0877,0.1287,0.9124,0.926
0.006000,-0.0867,0.1305,0.9137,0.927
0.006000,-0.0867,0.1317,0.9161,0.930
0.006000,-0.0857,0.1336,0.9203,0.934
0.006000,-0.0816,0.1356,0.9291,0.942
0.007000,-0.0748,0.1361,0.9440,0.957
0.007000,-0.0674,0.1363,0.9637,0.976
0.009000,-0.0596,0.1349,0.9840,0.995
0.014000,-0.0501,0.1314,0.9992,1.009
0.015000,-0.0415,0.1273,1.0094,1.018
0.016000,-0.0354,0.1234,1.0158,1.024
0.017000,-0.0318,0.1195,1.0197,1.027
0.021000,-0.0291,0.1153,1.0190,1.026
0.034000,-0.0288,0.1121,1.0170,1.024
0.035000,-0.0305,0.1094,1.0126,1.019
0.035000,-0.0305,0.1085,1.0085,1.015
0.036000,-0.0305,0.1090,1.0053,1.012
0.036000,-0.0342,0.1119,1.0006,1.007
0.036000,-0.0374,0.1151,0.9962,1.004
0.037000,-0.0396,0.1178,0.9931,1.001
0.040000,-0.0425,0.1204,0.9918,1.000
0.042000,-0.0447,0.1219,0.9914,1.000
0.045000,-0.0462,0.1229,0.9901,0.999
0.047000,-0.0462,0.1234,0.9901,0.999
0.049000,-0.0459,0.1241,0.9896,0.998
0.052000,-0.0452,0.1241,0.9884,0.997
0.056000,-0.0440,0.1258,0.9877,0.997
0.059000,-0.0418,0.1261,0.9884,0.997
0.060000,-0.0413,0.1251,0.9879,0.997
0.062000,-0.0428,0.1258,0.9855,0.994
0.066000,-0.0440,0.1273,0.9850,0.994
0.067000,-0.0469,0.1285,0.9838,0.993
0.070000,-0.0484,0.1302,0.9838,0.994
0.073000,-0.0503,0.1327,0.9843,0.994
0.074000,-0.0550,0.1334,0.9850,0.996
0.077000,-0.0596,0.1324,0.9867,0.997
0.079000,-0.0618,0.1314,0.9906,1.001
0.082000,-0.0628,0.1309,0.9977,1.008
0.085000,-0.0655,0.1263,1.0036,1.014
0.087000,-0.0711,0.1112,1.0063,1.015
0.099000,-0.0730,0.1070,1.0141,1.022
0.100000,-0.0679,0.1256,1.0236,1.034
0.101000,-0.0611,0.1402,1.0260,1.037
0.101000,-0.0542,0.1439,1.0229,1.034
