time,gFx,gFy,gFz,TgF
0.002000,0.0364,0.3564,0.8944,0.963
0.003000,0.0437,0.3523,0.9134,0.980
0.003000,0.0515,0.3454,0.9335,0.997
0.003000,0.0640,0.3371,0.9550,1.015
0.003000,0.0782,0.3288,0.9750,1.032
0.003000,0.0862,0.3225,0.9918,1.047
0.004000,0.0879,0.3166,1.0041,1.056
0.012000,0.0850,0.3100,1.0092,1.059
0.013000,0.0779,0.3041,1.0055,1.053
0.013000,0.0691,0.2973,0.9938,1.040
0.013000,0.0599,0.2880,0.9774,1.021
0.015000,0.0496,0.2795,0.9567,0.998
0.017000,0.0406,0.2736,0.9313,0.971
0.031000,0.0408,0.2739,0.8993,0.941
0.032000,0.0557,0.2856,0.8592,0.907
0.032000,0.0679,0.2895,0.8262,0.878
0.033000,0.0652,0.2756,0.8086,0.857
0.033000,0.0572,0.2590,0.7925,0.836
0.033000,0.0506,0.2458,0.7725,0.812
0.034000,0.0435,0.2362,0.7502,0.788
0.039000,0.0374,0.2274,0.7290,0.765
0.040000,0.0340,0.2243,0.7065,0.742
0.042000,0.0310,0.2260,0.6845,0.722
0.044000,0.0257,0.2289,0.6660,0.705
0.047000,0.0183,0.2301,0.6486,0.688
0.049000,0.0125,0.2265,0.6322,0.672
0.064000,0.0100,0.2228,0.6190,0.658
0.064000,0.0083,0.2196,0.6122,0.650
0.065000,0.0086,0.2157,0.6044,0.642
0.065000,0.0090,0.2116,0.5941,0.631
0.065000,0.0076,0.2069,0.5812,0.617
0.065000,0.0042,0.2035,0.5663,0.602
0.067000,0.0002,0.1984,0.5555,0.590
0.070000,-0.0022,0.1954,0.5436,0.578
0.072000,-0.0034,0.1954,0.5340,0.569
0.075000,-0.0042,0.1942,0.5260,0.561
0.077000,-0.0022,0.1959,0.5130,0.549
0.080000,0.0000,0.1991,0.4984,0.537
0.081000,-0.0032,0.2003,0.4869,0.526
0.084000,-0.0076,0.2001,0.4822,0.522
0.087000,-0.0093,0.2001,0.4835,0.523
0.089000,-0.0095,0.2028,0.4881,0.529
0.093000,-0.0081,0.2040,0.4969,0.537
0.094000,-0.0061,0.2018,0.5130,0.551
0.096000,-0.0010,0.2015,0.5348,0.571
0.099000,0.0078,0.2025,0.5568,0.592
0.102000,0.0171,0.2037,0.5802,0.615
0.104000,0.0257,0.2037,0.6034,0.637
0.106000,0.0310,0.2030,0.6274,0.660
0.109000,0.0354,0.2047,0.6537,0.686
0.112000,0.0415,0.2101,0.6743,0.707
0.114000,0.0493,0.2199,0.6906,0.726
0.116000,0.0594,0.2326,0.7048,0.745
0.121000,0.0691,0.2431,0.7143,0.758
0.122000,0.0794,0.2533,0.7214,0.769
0.124000,0.0884,0.2634,0.7251,0.776
0.126000,0.0948,0.2699,0.7268,0.781
0.128000,0.0997,0.2761,0.7260,0.783
0.131000,0.0989,0.2795,0.7226,0.781
0.133000,0.0936,0.2817,0.7187,0.778
0.138000,0.0879,0.2841,0.7094,0.769
0.138000,0.0814,0.2831,0.6984,0.758
0.141000,0.0748,0.2809,0.6867,0.746
0.144000,0.0689,0.2797,0.6743,0.733
0.146000,0.0630,0.2783,0.6618,0.721
0.149000,0.0579,0.2797,0.6462,0.706
0.151000,0.0535,0.2819,0.6293,0.692
0.155000,0.0484,0.2817,0.6146,0.678
0.156000,0.0435,0.2807,0.6007,0.664
0.158000,0.0374,0.2768,0.5873,0.650
0.161000,0.0298,0.2734,0.5760,0.638
0.163000,0.0222,0.2734,0.5663,0.629
0.165000,0.0159,0.2726,0.5589,0.622
0.168000,0.0107,0.2717,0.5548,0.618
0.184000,0.0064,0.2721,0.5526,0.616
0.185000,0.0042,0.2729,0.5541,0.618
