time,gFx,gFy,gFz,TgF
0.004000,-0.1466,0.7952,0.5255,0.964
0.004000,-0.1380,0.7962,0.5643,0.986
0.004000,-0.1290,0.7969,0.6027,1.007
0.004000,-0.1229,0.7966,0.6410,1.030
0.005000,-0.1156,0.7957,0.6801,1.053
0.005000,-0.1058,0.7952,0.7170,1.076
0.018000,-0.0945,0.7947,0.7532,1.099
0.018000,-0.0818,0.7923,0.7864,1.119
0.018000,-0.0718,0.7883,0.8111,1.133
0.019000,-0.0669,0.7827,0.8291,1.142
0.019000,-0.0669,0.7778,0.8411,1.148
0.019000,-0.0704,0.7742,0.8467,1.149
0.021000,-0.0770,0.7720,0.8494,1.150
0.023000,-0.0862,0.7715,0.8492,1.151
0.025000,-0.0963,0.7712,0.8455,1.148
0.028000,-0.1053,0.7727,0.8394,1.146
0.030000,-0.1146,0.7727,0.8267,1.137
0.032000,-0.1234,0.7686,0.8084,1.122
0.035000,-0.1329,0.7624,0.7871,1.104
0.037000,-0.1434,0.7556,0.7642,1.084
0.041000,-0.1520,0.7488,0.7422,1.065
0.042000,-0.1598,0.7434,0.7197,1.047
0.048000,-0.1673,0.7414,0.6980,1.032
0.048000,-0.1747,0.7417,0.6774,1.020
0.050000,-0.1832,0.7431,0.6586,1.010
0.053000,-0.1898,0.7453,0.6413,1.001
0.056000,-0.1964,0.7473,0.6242,0.993
0.058000,-0.2015,0.7502,0.6063,0.985
0.060000,-0.2035,0.7522,0.5890,0.977
0.062000,-0.2037,0.7519,0.5729,0.967
0.065000,-0.2030,0.7529,0.5550,0.957
0.067000,-0.2028,0.7549,0.5387,0.949
0.069000,-0.2025,0.7576,0.5257,0.944
0.073000,-0.2020,0.7617,0.5167,0.942
0.075000,-0.1984,0.7651,0.5091,0.940
0.077000,-0.1945,0.7678,0.5030,0.938
0.079000,-0.1920,0.7705,0.4991,0.938
0.082000,-0.1886,0.7737,0.4969,0.939
0.084000,-0.1820,0.7776,0.4967,0.940
0.087000,-0.1735,0.7815,0.4984,0.943
0.090000,-0.1644,0.7852,0.5040,0.947
0.092000,-0.1532,0.7871,0.5128,0.952
0.094000,-0.1441,0.7893,0.5221,0.957
0.096000,-0.1358,0.7908,0.5311,0.962
0.099000,-0.1265,0.7910,0.5423,0.967
0.102000,-0.1209,0.7908,0.5575,0.975
0.105000,-0.1156,0.7893,0.5751,0.983
0.107000,-0.1092,0.7896,0.5924,0.993
0.109000,-0.1041,0.7901,0.6103,1.004
0.111000,-0.0989,0.7896,0.6274,1.013
0.115000,-0.0941,0.7891,0.6418,1.021
0.116000,-0.0914,0.7879,0.6535,1.028
0.119000,-0.0911,0.7849,0.6647,1.033
0.121000,-0.0916,0.7820,0.6735,1.036
