time,gFx,gFy,gFz,TgF
0.003000,-0.0269,0.5782,0.8472,1.026
0.003000,-0.0213,0.5787,0.8648,1.041
0.004000,-0.0156,0.5802,0.8778,1.052
0.004000,-0.0120,0.5812,0.8883,1.062
0.004000,-0.0095,0.5790,0.8973,1.068
0.004000,-0.0064,0.5768,0.9032,1.072
0.005000,-0.0029,0.5765,0.9054,1.073
0.010000,-0.0024,0.5768,0.9063,1.074
0.011000,-0.0010,0.5773,0.9046,1.073
0.020000,0.0015,0.5775,0.9017,1.071
0.021000,0.0037,0.5770,0.8990,1.068
0.021000,0.0049,0.5780,0.8951,1.066
0.021000,0.0051,0.5785,0.8909,1.062
0.022000,0.0054,0.5778,0.8861,1.058
0.027000,0.0042,0.5782,0.8824,1.055
0.027000,0.0034,0.5804,0.8790,1.053
0.029000,0.0020,0.5826,0.8760,1.052
0.032000,-0.0002,0.5844,0.8736,1.051
0.034000,-0.0029,0.5858,0.8697,1.049
0.036000,-0.0042,0.5856,0.8655,1.045
0.038000,-0.0042,0.5846,0.8619,1.041
0.041000,-0.0054,0.5831,0.8560,1.036
0.043000,-0.0076,0.5819,0.8492,1.029
0.046000,-0.0105,0.5800,0.8453,1.025
0.048000,-0.0120,0.5773,0.8416,1.021
0.051000,-0.0151,0.5739,0.8374,1.015
0.053000,-0.0188,0.5714,0.8350,1.012
0.056000,-0.0210,0.5704,0.8299,1.007
0.059000,-0.0242,0.5690,0.8257,1.003
0.061000,-0.0276,0.5685,0.8238,1.001
0.064000,-0.0298,0.5690,0.8206,0.999
0.065000,-0.0310,0.5687,0.8172,0.996
0.068000,-0.0322,0.5685,0.8147,0.994
0.071000,-0.0335,0.5677,0.8125,0.992
0.073000,-0.0335,0.5673,0.8106,0.990
0.076000,-0.0337,0.5675,0.8094,0.989
0.078000,-0.0349,0.5673,0.8067,0.987
0.080000,-0.0344,0.5660,0.8045,0.984
0.083000,-0.0337,0.5665,0.8052,0.985
0.085000,-0.0340,0.5670,0.8047,0.985
0.088000,-0.0327,0.5680,0.8028,0.984
0.091000,-0.0313,0.5690,0.8032,0.985
0.093000,-0.0310,0.5690,0.8028,0.984
0.096000,-0.0310,0.5699,0.8018,0.984
0.098000,-0.0318,0.5709,0.8028,0.986
0.101000,-0.0325,0.5714,0.8028,0.986
0.103000,-0.0325,0.5726,0.8035,0.987
0.105000,-0.0310,0.5739,0.8064,0.990
0.109000,-0.0296,0.5746,0.8089,0.993
0.110000,-0.0293,0.5748,0.8116,0.995
0.113000,-0.0288,0.5748,0.8133,0.996
0.115000,-0.0271,0.5748,0.8135,0.996
0.118000,-0.0264,0.5741,0.8147,0.997
0.121000,-0.0259,0.5731,0.8157,0.997
0.122000,-0.0259,0.5719,0.8157,0.997
