time,gFx,gFy,gFz,TgF
0.004000,-0.0740,0.0706,0.9545,0.960
0.005000,-0.0848,0.0796,0.9642,0.971
0.005000,-0.0926,0.0860,0.9750,0.983
0.005000,-0.0992,0.0901,0.9838,0.993
0.006000,-0.1038,0.0938,0.9914,1.001
0.006000,-0.1043,0.0970,0.9987,1.009
0.006000,-0.1063,0.0977,1.0033,1.014
0.015000,-0.1129,0.0943,1.0023,1.013
0.015000,-0.1180,0.0860,0.9992,1.010
0.015000,-0.1192,0.0777,0.9987,1.009
0.016000,-0.1170,0.0721,0.9984,1.008
0.018000,-0.1124,0.0699,0.9967,1.005
0.023000,-0.1065,0.0691,0.9923,1.000
0.023000,-0.0999,0.0662,0.9877,0.995
0.025000,-0.0941,0.0633,0.9872,0.994
0.027000,-0.0897,0.0623,0.9936,1.000
0.030000,-0.0838,0.0628,1.0014,1.007
0.032000,-0.0772,0.0640,1.0043,1.009
0.035000,-0.0733,0.0630,1.0067,1.011
0.040000,-0.0730,0.0616,1.0107,1.015
0.040000,-0.0745,0.0603,1.0158,1.020
0.042000,-0.0730,0.0603,1.0177,1.022
0.047000,-0.0701,0.0616,1.0177,1.022
0.047000,-0.0706,0.0599,1.0192,1.023
0.050000,-0.0708,0.0584,1.0194,1.024
0.052000,-0.0711,0.0591,1.0207,1.025
0.056000,-0.0716,0.0596,1.0248,1.029
0.057000,-0.0708,0.0596,1.0287,1.033
0.059000,-0.0694,0.0599,1.0317,1.036
0.062000,-0.0674,0.0611,1.0329,1.037
0.064000,-0.0660,0.0638,1.0329,1.037
0.067000,-0.0645,0.0669,1.0314,1.036
0.072000,-0.0650,0.0701,1.0280,1.032
0.072000,-0.0677,0.0704,1.0256,1.030
0.075000,-0.0706,0.0691,1.0214,1.026
0.077000,-0.0726,0.0686,1.0155,1.020
0.081000,-0.0745,0.0686,1.0080,1.013
0.082000,-0.0750,0.0701,0.9994,1.005
0.084000,-0.0760,0.0730,0.9928,0.998
0.088000,-0.0770,0.0752,0.9862,0.992
0.090000,-0.0774,0.0774,0.9804,0.986
0.092000,-0.0804,0.0784,0.9721,0.979
0.094000,-0.0845,0.0774,0.9606,0.967
