time,gFx,gFy,gFz,TgF
0.002000,-0.3706,-0.1840,0.5753,0.709
0.003000,-0.3909,-0.1571,0.5592,0.700
0.003000,-0.4050,-0.1231,0.5572,0.700
0.003000,-0.4131,-0.0816,0.5685,0.707
0.003000,-0.4163,-0.0354,0.5890,0.722
0.017000,-0.4146,0.0122,0.6120,0.739
0.018000,-0.4075,0.0621,0.6366,0.758
0.018000,-0.3970,0.1124,0.6647,0.782
0.018000,-0.3816,0.1627,0.6997,0.813
0.018000,-0.3596,0.2081,0.7434,0.852
0.019000,-0.3305,0.2514,0.7905,0.893
0.020000,-0.2951,0.2932,0.8389,0.936
0.022000,-0.2550,0.3276,0.8856,0.978
0.024000,-0.2111,0.3569,0.9247,1.013
0.027000,-0.1693,0.3816,0.9572,1.044
0.029000,-0.1292,0.3994,0.9830,1.069
0.032000,-0.0921,0.4119,1.0011,1.086
0.034000,-0.0584,0.4155,1.0160,1.099
0.037000,-0.0288,0.4119,1.0285,1.108
0.039000,-0.0066,0.4028,1.0339,1.110
0.042000,0.0081,0.3892,1.0331,1.104
0.044000,0.0144,0.3721,1.0285,1.094
0.047000,0.0151,0.3523,1.0192,1.078
0.049000,0.0103,0.3318,1.0087,1.062
0.052000,-0.0005,0.3103,0.9994,1.046
0.054000,-0.0137,0.2883,0.9899,1.031
0.057000,-0.0303,0.2670,0.9806,1.017
0.060000,-0.0489,0.2445,0.9696,1.001
0.062000,-0.0664,0.2206,0.9540,0.981
0.068000,-0.0831,0.1954,0.9354,0.959
0.068000,-0.1002,0.1698,0.9159,0.937
0.069000,-0.1190,0.1458,0.8961,0.916
0.074000,-0.1390,0.1212,0.8775,0.897
0.074000,-0.1573,0.0963,0.8604,0.880
0.078000,-0.1747,0.0743,0.8445,0.866
0.079000,-0.1918,0.0552,0.8269,0.851
0.081000,-0.2062,0.0391,0.8057,0.833
0.084000,-0.2184,0.0276,0.7808,0.811
0.086000,-0.2294,0.0178,0.7585,0.793
0.089000,-0.2411,0.0098,0.7485,0.786
0.091000,-0.2531,0.0081,0.7473,0.789
0.094000,-0.2614,0.0090,0.7490,0.793
0.096000,-0.2665,0.0137,0.7534,0.799
0.098000,-0.2702,0.0227,0.7583,0.805
0.101000,-0.2704,0.0327,0.7642,0.811
0.103000,-0.2655,0.0459,0.7712,0.817
0.106000,-0.2572,0.0613,0.7786,0.822
0.109000,-0.2472,0.0757,0.7886,0.830
0.111000,-0.2379,0.0911,0.7986,0.838
0.113000,-0.2284,0.1087,0.8079,0.847
0.116000,-0.2182,0.1251,0.8184,0.856
0.118000,-0.2084,0.1392,0.8287,0.866
0.121000,-0.1984,0.1515,0.8394,0.876
0.132000,-0.1886,0.1634,0.8506,0.886
0.133000,-0.1805,0.1744,0.8587,0.895
0.133000,-0.1720,0.1825,0.8636,0.899
0.133000,-0.1622,0.1891,0.8682,0.903
0.134000,-0.1522,0.1945,0.8746,0.909
0.135000,-0.1427,0.1996,0.8817,0.915
0.139000,-0.1327,0.2047,0.8892,0.922
0.140000,-0.1221,0.2091,0.8980,0.930
0.143000,-0.1126,0.2125,0.9073,0.939
0.145000,-0.1038,0.2138,0.9176,0.948
0.149000,-0.0977,0.2147,0.9288,0.958
0.150000,-0.0911,0.2164,0.9408,0.970
0.153000,-0.0848,0.2177,0.9520,0.980
0.166000,-0.0784,0.2169,0.9615,0.989
0.167000,-0.0716,0.2147,0.9691,0.995
0.167000,-0.0667,0.2111,0.9740,0.999
0.168000,-0.0601,0.2064,0.9786,1.002
0.168000,-0.0542,0.2003,0.9845,1.006
0.168000,-0.0511,0.1940,0.9901,1.010
0.170000,-0.0484,0.1871,0.9953,1.014
0.173000,-0.0457,0.1786,0.9997,1.017
0.175000,-0.0450,0.1715,1.0041,1.020
0.178000,-0.0437,0.1649,1.0067,1.021
0.180000,-0.0418,0.1568,1.0080,1.021
0.182000,-0.0415,0.1476,1.0097,1.021
0.184000,-0.0401,0.1378,1.0089,1.019
0.187000,-0.0391,0.1273,1.0075,1.016
0.191000,-0.0413,0.1168,1.0045,1.012
0.192000,-0.0430,0.1070,1.0001,1.007
0.194000,-0.0435,0.0985,0.9972,1.003
0.197000,-0.0462,0.0914,0.9923,0.998
0.199000,-0.0479,0.0843,0.9860,0.991
0.202000,-0.0503,0.0779,0.9826,0.987
0.206000,-0.0547,0.0738,0.9799,0.984
0.207000,-0.0564,0.0704,0.9765,0.981
