time,ax,ay,az,aT
0.003000,0.1423,0.1589,0.0777,0.227
0.003000,0.0511,0.0842,0.0105,0.099
0.005000,-0.0109,0.0265,0.0366,0.046
0.009000,0.0197,-0.0075,0.0861,0.089
0.014000,0.0575,-0.0533,0.0617,0.100
0.018000,0.0479,-0.0941,0.0161,0.107
0.024000,0.0100,-0.1303,0.0065,0.131
0.029000,-0.0040,-0.1619,0.0207,0.163
0.033000,0.0084,-0.1580,0.0444,0.164
0.038000,0.0113,-0.1522,0.0275,0.155
0.043000,0.0001,-0.1635,0.0178,0.164
0.048000,-0.0420,-0.1824,0.0154,0.188
0.053000,-0.0295,-0.1993,-0.0131,0.202
0.058000,0.1136,-0.1951,0.0038,0.226
0.063000,0.2351,-0.2032,0.0751,0.320
0.068000,0.2278,-0.1995,0.1174,0.325
0.073000,0.1140,-0.1765,0.0549,0.217
0.078000,-0.0536,-0.1652,-0.0333,0.177
0.083000,-0.1519,-0.1492,-0.0898,0.231
0.088000,-0.1478,-0.1453,-0.0557,0.215
0.092000,-0.1159,-0.1193,-0.0480,0.173
0.097000,-0.1150,-0.0757,-0.1164,0.180
0.104000,-0.0855,-0.0320,-0.0560,0.107
0.108000,0.0004,0.0065,0.0348,0.035
0.112000,0.0571,0.0498,0.0416,0.086
0.118000,0.0783,0.0939,-0.0180,0.124
0.122000,0.0806,0.1291,-0.0321,0.156
0.127000,0.0566,0.1457,0.0085,0.157
0.132000,0.0255,0.1653,0.0321,0.170
0.138000,0.0042,0.1949,0.0317,0.198
0.142000,0.0022,0.2081,0.0385,0.212
0.147000,-0.0118,0.2023,0.0500,0.209
0.153000,-0.0376,0.1940,0.0139,0.198
0.157000,-0.0705,0.1880,-0.0291,0.203
0.162000,-0.0842,0.1868,-0.0527,0.212
0.167000,-0.0624,0.1901,-0.0689,0.212
0.172000,-0.0289,0.1958,-0.0660,0.209
0.177000,0.0044,0.1774,-0.0537,0.185
0.181000,0.0257,0.1325,-0.0438,0.142
0.187000,0.0445,0.0896,-0.0316,0.105
0.192000,0.0584,0.0533,-0.0480,0.093
0.197000,0.0628,0.0141,-0.0831,0.105
0.203000,0.0434,-0.0183,-0.0990,0.110
0.207000,0.0124,-0.0223,-0.0934,0.097
0.211000,-0.0042,-0.0193,-0.0688,0.072
0.216000,-0.0136,-0.0306,-0.0254,0.042
0.221000,-0.0252,-0.0324,0.0152,0.044
0.226000,-0.0344,-0.0603,0.0341,0.077
0.231000,-0.0460,-0.0977,0.0292,0.112
0.236000,-0.0363,-0.1136,0.0266,0.122
0.241000,0.0064,-0.1363,0.0265,0.139
0.246000,0.0393,-0.1539,0.0477,0.166
0.251000,0.0650,-0.1279,0.0521,0.153
0.256000,0.0718,-0.0989,0.0279,0.125
0.261000,0.0454,-0.0647,0.0348,0.086
0.265000,0.0333,-0.0423,0.0583,0.079
0.271000,0.0140,-0.0342,0.0601,0.071
0.276000,0.0020,0.0052,0.0240,0.025
0.280000,0.0092,0.0467,0.0047,0.048
0.293000,0.0163,0.0619,0.0308,0.071
0.294000,0.0089,0.0699,0.0234,0.074
0.295000,-0.0006,0.0901,0.0041,0.090
0.301000,-0.0030,0.1102,-0.0007,0.110
0.306000,0.0065,0.1137,0.0063,0.114
0.310000,0.0041,0.0979,-0.0009,0.098
0.315000,-0.0149,0.0700,-0.0271,0.077
0.320000,-0.0195,0.0466,-0.0411,0.065
