time,ax,ay,az,aT
0.003,0.0415,0.2407,0.0927,0.261
0.003,-0.1324,0.2387,0.023,0.274
0.005,-0.1818,0.2372,-0.0792,0.309
0.01,-0.0955,0.207,-0.0691,0.238
0.015,0.0046,0.153,0.0051,0.153
0.02,0.0398,0.1064,0.0288,0.117
0.027,0.0463,0.0794,-0.0118,0.093
0.03,0.0507,0.0622,-0.0402,0.09
0.035,0.0673,0.0309,-0.009,0.075
0.039,0.0671,0.0115,0.022,0.072
0.045,0.0239,-0.0031,0.0099,0.026
0.051,-0.0001,-0.0128,-0.0068,0.014
0.054,0.0162,-0.0201,-0.0067,0.027
0.059,0.049,-0.0416,-0.0114,0.065
0.064,0.0697,-0.0605,-0.0089,0.093
0.069,0.0833,-0.065,0.0031,0.106
0.077,0.0921,-0.0599,0.0054,0.11
0.085,0.0963,-0.062,0.0078,0.115
0.089,0.0482,-0.0784,0.0172,0.094
0.095,0.0361,-0.0708,0.0194,0.082
0.1,0.0122,-0.0561,0.0074,0.058
0.104,-0.0046,-0.0509,-0.0022,0.051
0.109,-0.0047,-0.0505,-0.014,0.053
0.114,0,-0.0549,0.0051,0.055
0.118,-0.0047,-0.0474,0.0193,0.051
0.126,-0.0047,-0.0351,0.0025,0.035
0.129,0.0025,-0.0276,0.012,0.03
0.134,-0.0069,-0.0225,0.019,0.03
0.138,-0.0163,-0.0198,0.0117,0.028
0.144,-0.0256,-0.0121,0.0116,0.031
0.148,-0.0323,-0.0141,0.0044,0.036
0.153,-0.0297,-0.0137,-0.0099,0.034
0.16,-0.0343,-0.0062,-0.0075,0.036
0.164,-0.0246,0.0083,0.0045,0.026
0.168,-0.0222,0.0132,-0.0075,0.027
0.174,-0.0198,0.018,-0.0121,0.029
0.182,-0.0102,0.0275,-0.0073,0.03
0.183,0.0016,0.0321,-0.0049,0.033
0.188,0.0156,0.0391,-0.0024,0.042
0.199,0.0344,0.0483,-0.0096,0.06
0.203,0.0509,0.0409,-0.0024,0.065
0.21,0.0247,0.0453,0.0071,0.052
0.213,0.0081,0.0427,-0.0024,0.043
0.217,-0.0059,0.0424,0.0023,0.043
0.222,-0.0294,0.0589,0.0118,0.067
0.228,-0.0385,0.0705,0.0046,0.08
0.232,-0.0403,0.0678,0.0069,0.079
0.237,-0.0352,0.0723,0.0044,0.081
0.243,-0.0324,0.0743,-0.0099,0.082
0.248,-0.0298,0.0692,-0.0122,0.076
