time,ax,ay,az,aT
0.002000,0.0956,-0.0584,-0.0524,0.124
0.003000,-0.0216,-0.1272,-0.0472,0.137
0.004000,-0.0639,-0.1122,0.1242,0.179
0.009000,-0.1321,-0.0851,-0.0027,0.157
0.014000,-0.1858,-0.0418,-0.0217,0.192
0.019000,-0.1165,0.0317,-0.0120,0.121
0.023000,0.0038,0.0738,-0.0617,0.096
0.028000,0.0595,0.0730,-0.0089,0.095
0.034000,0.0826,0.0536,0.0576,0.114
0.038000,0.1014,0.0369,0.0429,0.116
0.044000,0.0611,0.0180,0.0211,0.067
0.048000,-0.0148,-0.0248,0.0281,0.040
0.053000,-0.0717,-0.0509,-0.0149,0.089
0.058000,-0.0767,-0.0531,-0.0670,0.115
0.063000,-0.0415,-0.0434,-0.0356,0.070
0.068000,0.0056,-0.0266,0.0099,0.029
0.073000,0.0504,-0.0050,0.0169,0.053
0.078000,0.0430,0.0166,0.0144,0.048
0.083000,0.0122,0.0190,0.0000,0.023
0.088000,-0.0020,0.0023,-0.0142,0.015
0.094000,-0.0093,-0.0074,-0.0165,0.020
0.098000,-0.0025,-0.0267,-0.0116,0.029
0.103000,-0.0028,-0.0338,-0.0091,0.035
0.114000,-0.0053,-0.0075,-0.0090,0.013
0.114000,0.0066,0.0187,-0.0042,0.020
0.117000,0.0160,0.0305,-0.0018,0.034
0.122000,0.0159,0.0326,0.0077,0.037
0.127000,0.0111,0.0205,0.0077,0.025
0.132000,0.0063,0.0012,0.0028,0.007
0.137000,-0.0032,-0.0037,0.0099,0.011
0.143000,-0.0056,-0.0109,0.0051,0.013
0.148000,-0.0057,-0.0157,-0.0092,0.019
0.152000,-0.0103,-0.0108,-0.0091,0.018
0.157000,-0.0054,-0.0060,0.0005,0.008
0.162000,-0.0102,-0.0059,-0.0066,0.014
0.167000,-0.0196,-0.0106,-0.0042,0.023
0.171000,-0.0171,-0.0105,0.0006,0.020
0.177000,-0.0124,-0.0104,0.0006,0.016
0.182000,-0.0029,-0.0175,0.0053,0.018
0.187000,-0.0030,-0.0197,0.0100,0.022
0.198000,-0.0196,-0.0125,0.0052,0.024
0.198000,-0.0218,0.0067,0.0123,0.026
0.201000,-0.0170,0.0233,0.0122,0.031
0.206000,-0.0170,0.0231,0.0049,0.029
0.211000,-0.0004,0.0158,0.0049,0.017
0.216000,0.0090,0.0062,-0.0023,0.011
0.221000,0.0112,-0.0081,0.0073,0.016
0.226000,0.0135,-0.0175,0.0072,0.023
0.231000,0.0062,-0.0149,0.0024,0.016
0.236000,0.0015,-0.0125,0.0024,0.013
0.243000,-0.0010,-0.0005,-0.0024,0.003
0.246000,0.0060,0.0066,-0.0048,0.010
0.251000,0.0082,0.0136,0.0095,0.019
0.255000,0.0081,0.0040,0.0071,0.012
0.260000,0.0128,-0.0127,-0.0025,0.018
0.266000,0.0150,-0.0150,-0.0024,0.021
0.271000,0.0174,-0.0102,-0.0024,0.020
0.282000,0.0031,-0.0031,-0.0095,0.010
0.282000,-0.0040,0.0088,-0.0237,0.026
0.285000,-0.0016,0.0087,-0.0140,0.017
0.290000,-0.0088,-0.0056,0.0027,0.011
0.297000,-0.0040,-0.0198,-0.0044,0.021
0.301000,0.0079,-0.0316,-0.0139,0.035
0.305000,0.0102,-0.0290,-0.0066,0.031
0.316000,0.0101,-0.0193,-0.0089,0.024
0.316000,0.0101,-0.0097,-0.0112,0.018
0.320000,0.0100,-0.0047,-0.0064,0.013
0.325000,0.0077,-0.0069,0.0008,0.010
0.330000,-0.0041,-0.0281,0.0150,0.032
0.335000,-0.0039,-0.0491,0.0172,0.052
0.340000,-0.0014,-0.0415,0.0052,0.042
0.345000,-0.0038,-0.0174,-0.0043,0.018
0.351000,0.0034,0.0019,-0.0067,0.008
0.354000,0.0106,0.0067,0.0005,0.013
0.359000,-0.0012,0.0092,0.0005,0.009
0.365000,-0.0106,0.0092,-0.0019,0.014
0.369000,-0.0153,0.0092,0.0029,0.018
0.377000,-0.0103,0.0021,0.0005,0.011
0.379000,-0.0103,-0.0168,-0.0019,0.020
0.384000,-0.0126,-0.0262,0.0076,0.030
0.389000,-0.0030,-0.0213,0.0099,0.024
0.398000,-0.0054,-0.0306,0.0003,0.031
0.399000,-0.0052,-0.0329,0.0170,0.037
0.404000,-0.0052,-0.0231,0.0168,0.029
0.409000,-0.0122,-0.0444,-0.0071,0.047
0.414000,-0.0120,-0.0465,0.0168,0.051
0.418000,-0.0071,-0.0012,0.0119,0.014
0.424000,-0.0212,0.0343,-0.0262,0.048
0.428000,-0.0258,0.0718,-0.0117,0.077
0.433000,-0.0162,0.1137,-0.0164,0.116
0.438000,-0.0161,0.1364,-0.0305,0.141
0.444000,-0.0279,0.1282,-0.0065,0.131
0.448000,-0.0254,0.0846,0.0031,0.088
0.453000,-0.0086,0.0270,0.0220,0.036
0.458000,0.0009,-0.0160,0.0290,0.033
0.463000,-0.0064,-0.0301,0.0002,0.031
0.468000,-0.0113,-0.0181,-0.0093,0.023
0.472000,-0.0066,-0.0157,-0.0044,0.018
0.479000,0.0052,-0.0109,-0.0020,0.012
0.484000,0.0099,0.0034,0.0075,0.013
0.488000,-0.0021,0.0009,0.0122,0.012
0.514000,0.0026,0.0009,0.0097,0.010
0.514000,0.0049,0.0080,0.0025,0.010
0.515000,0.0025,0.0007,-0.0023,0.003
0.515000,0.0096,-0.0137,0.0001,0.017
0.515000,-0.0047,-0.0185,0.0025,0.019
0.518000,-0.0023,-0.0233,-0.0022,0.023
0.522000,0.0073,-0.0304,-0.0022,0.031
0.534000,-0.0095,-0.0328,0.0002,0.034
0.535000,-0.0165,-0.0327,0.0049,0.037
0.536000,0.0002,-0.0207,0.0025,0.021
0.549000,0.0025,0.0006,-0.0046,0.005
0.549000,-0.0023,0.0099,-0.0022,0.010
0.553000,0.0000,0.0049,0.0002,0.005
0.557000,0.0071,-0.0072,-0.0117,0.015
0.567000,0.0094,-0.0121,-0.0068,0.017
0.567000,-0.0001,0.0022,0.0051,0.006
0.572000,0.0070,0.0306,0.0027,0.031
0.588000,-0.0169,0.0257,-0.0092,0.032
0.589000,-0.0238,0.0089,0.0004,0.025
0.589000,0.0191,0.0112,0.0123,0.025
0.625000,-0.0026,0.0562,0.0098,0.057
0.625000,-0.0574,0.0890,-0.0188,0.108
0.626000,-0.0288,0.0767,-0.0542,0.098
0.626000,0.0545,0.0359,0.0103,0.066
0.626000,0.0663,-0.0426,0.0814,0.113
0.626000,0.0092,-0.0966,0.0404,0.105
0.626000,-0.0334,-0.0814,-0.0146,0.089
0.627000,-0.0451,-0.0475,-0.0216,0.069
0.633000,-0.0474,-0.0426,-0.0214,0.067
0.636000,-0.0309,-0.0329,-0.0117,0.047
0.643000,0.0022,-0.0043,0.0098,0.011
0.646000,0.0210,0.0336,0.0050,0.040
0.651000,0.0208,0.0690,-0.0165,0.074
0.655000,0.0161,0.0591,-0.0045,0.061
0.661000,0.0114,-0.0007,0.0051,0.013
0.665000,0.0115,-0.0270,-0.0116,0.032
0.670000,0.0186,-0.0317,-0.0162,0.040
0.681000,-0.0172,-0.0435,-0.0113,0.048
0.682000,-0.0720,-0.0411,-0.0065,0.083
0.685000,-0.0647,0.0060,0.0031,0.065
0.690000,0.0156,0.1454,-0.0468,0.154
0.711000,0.0955,0.2014,-0.0867,0.239
0.712000,0.0931,0.1169,0.0849,0.172
0.712000,0.0317,0.0049,0.1530,0.156
0.712000,-0.0535,-0.0707,-0.0026,0.089
0.715000,-0.0698,-0.1056,-0.0524,0.137
0.720000,-0.0270,-0.1640,-0.0472,0.173
0.725000,-0.0321,-0.2434,-0.0231,0.247
0.730000,-0.0088,-0.0871,0.0365,0.095
