time,wx,wy,wz
0.002,0.00,0.00,0.01
0.002,0.00,0.00,0.01
0.002,-0.00,0.01,0.01
0.003,-0.00,0.00,0.01
0.003,-0.00,0.00,0.01
0.004,0.00,-0.00,0.01
0.006,-0.00,-0.00,0.01
0.011,-0.00,0.00,0.01
0.011,-0.00,-0.00,0.01
0.013,-0.00,-0.00,0.01
0.016,-0.00,0.00,0.01
0.018,0.00,0.00,0.01
0.02,0.00,0.00,0.01
0.023,0.00,0.00,0.01
0.026,0.00,0.01,0.01
0.028,-0.00,0.01,0.01
0.031,0.00,0.01,0.01
0.033,0.00,0.01,0.01
0.036,0.00,0.01,0.01
0.038,0.00,0.01,0.01
0.041,0.00,0.00,0.01
0.044,-0.00,0.00,0.01
0.047,-0.00,0.00,0.01
0.048,0.00,0.01,0.01
0.05,0.00,0.00,0.01
0.052,0.00,0.00,0.01
0.055,0.00,0.00,0.01
0.058,-0.00,0.01,0.01
0.061,0.00,0.00,0.01
0.063,-0.00,0.00,0.01
0.065,0.00,0.00,0.01
0.069,-0.00,0.00,0.01
0.071,0.00,0.00,0.01
0.073,-0.00,0.00,0.01
0.076,-0.00,0.00,0.01
0.078,-0.00,0.00,0.01
0.081,-0.00,-0.00,0.01
0.082,-0.00,0.00,0.01
0.086,0.00,-0.00,0.01
0.088,0.00,-0.00,0.01
0.09,-0.00,-0.00,0.01
0.093,0.00,-0.00,0.01
0.095,-0.00,0.00,0.01
0.097,-0.00,0.00,0.01
0.1,-0.00,0.00,0.01
0.103,-0.00,0.01,0.01
0.105,-0.00,0.00,0.01
0.108,-0.00,0.00,0.01
0.111,-0.00,0.00,0.01
0.112,-0.00,0.00,0.01
0.115,-0.00,0.00,0.01
0.118,-0.00,0.00,0.01
0.12,-0.00,0.00,0.01
0.122,-0.00,0.01,0.01
0.133,-0.00,0.00,0.01
0.134,-0.00,0.00,0.01
0.134,-0.00,0.01,0.01
0.134,-0.00,0.01,0.01
0.134,-0.00,0.01,0.01
0.136,-0.00,0.01,0.01
0.139,-0.00,0.01,0.01
0.142,-0.00,0.01,0.01
0.144,-0.00,0.01,0.01
0.146,-0.00,0.01,0.01
0.149,-0.00,0.01,0.01
0.153,-0.00,0.01,0.01
0.154,-0.00,0.00,0.01
0.157,-0.00,0.01,0.01
0.162,-0.00,0.01,0.01
0.162,-0.00,0.01,0.01
0.164,0.00,0.01,0.01
0.166,-0.00,0.01,0.01
0.169,-0.00,0.01,0.01
0.171,-0.00,0.01,0.01
0.173,-0.00,0.01,0.01
0.178,-0.00,0.01,0.01
0.179,-0.00,0.01,0.01
0.182,-0.00,0.01,0.01
0.186,-0.00,0.01,0.01
0.186,-0.00,0.01,0.01
0.189,-0.00,0.01,0.01
0.193,-0.00,0.01,0.01
0.193,-0.00,0.01,0.01
0.195,-0.00,0.01,0.01
0.198,-0.00,0.01,0.01
0.202,-0.00,0.00,0.01
0.205,-0.00,0.00,0.01
0.206,-0.00,0.01,0.01
0.21,-0.00,0.01,0.01
0.211,-0.00,0.00,0.01
0.213,-0.00,0.01,0.01
0.216,-0.00,0.00,0.01
0.219,-0.00,0.01,0.01
0.22,-0.00,0.01,0.01
0.223,-0.00,0.01,0.01
0.235,-0.00,0.00,0.01
0.235,-0.00,-0.00,0.01
0.235,0.00,0.00,0.01
0.236,-0.00,0.00,0.01
0.236,-0.00,0.01,0.01
0.238,-0.00,0.01,0.01
0.24,-0.00,0.01,0.01
0.243,0.00,0.00,0.01
0.245,0.00,0.00,0.01
0.248,0.00,0.01,0.01
0.25,0.00,0.01,0.01
0.253,0.00,0.00,0.01
0.255,0.00,0.00,0.01
0.26,0.00,0.00,0.01
0.261,0.00,0.01,0.01
0.263,0.00,0.01,0.01
0.265,0.00,0.01,0.01
0.268,-0.00,0.00,0.01
0.271,-0.00,0.00,0.01
0.273,-0.00,0.01,0.01
0.277,-0.00,0.01,0.01
0.278,-0.00,0.01,0.01
0.28,-0.00,0.01,0.01
0.283,-0.00,0.01,0.01
0.286,-0.00,0.01,0.01
0.288,-0.00,0.01,0.01
0.291,-0.00,0.01,0.01
0.293,-0.00,0.00,0.01
0.295,-0.00,0.00,0.01
0.297,-0.00,0.00,0.01
0.3,-0.00,0.00,0.01
0.303,-0.00,0.00,0.01
0.305,-0.00,0.00,0.01
0.308,-0.00,0.00,0.01
0.31,0.00,0.00,0.01
0.312,0.00,0.00,0.01
0.314,-0.00,0.00,0.01
0.317,0.00,0.00,0.01
0.32,0.00,0.00,0.01
0.322,-0.00,0.00,0.01
0.325,-0.00,0.00,0.01
0.327,0.00,0.00,0.01
0.329,-0.00,0.00,0.01
0.332,0.00,0.00,0.01
0.335,-0.00,0.00,0.01
0.337,-0.00,0.00,0.01
0.341,0.00,0.00,0.01
0.345,-0.00,0.00,0.01
0.346,0.00,0.00,0.01
0.347,-0.00,0.00,0.01
0.349,-0.00,0.00,0.01
0.352,-0.00,0.00,0.01
0.354,-0.00,0.00,0.01
0.357,-0.00,0.00,0.01
0.36,-0.00,0.00,0.01
0.362,-0.00,0.00,0.01
0.364,-0.00,0.01,0.01
0.366,-0.00,0.00,0.01
0.37,-0.00,0.01,0.01
0.372,-0.00,0.00,0.01
0.375,-0.00,0.00,0.01
0.377,-0.00,0.01,0.01
0.38,-0.00,0.01,0.01
0.382,-0.00,0.01,0.01
0.384,-0.00,0.01,0.01
0.386,-0.00,0.01,0.01
0.389,-0.00,0.00,0.01
0.394,-0.00,0.00,0.01
0.395,-0.00,0.00,0.01
0.396,-0.00,0.00,0.01
0.4,-0.00,0.00,0.01
0.401,-0.00,0.00,0.02
0.404,-0.00,-0.00,0.01
0.407,-0.00,-0.00,0.02
0.409,-0.00,-0.00,0.01
0.411,0.00,-0.00,0.01
0.414,-0.00,0.00,0.01
0.417,-0.00,0.00,0.01
0.418,0.00,0.00,0.01
0.422,0.00,-0.00,0.01
0.424,-0.00,-0.00,0.02
0.427,-0.00,-0.00,0.02
0.43,-0.00,0.00,0.02
0.431,-0.00,0.00,0.02
0.433,0.00,0.00,0.02
0.437,-0.00,0.00,0.02
0.446,-0.00,0.00,0.02
0.446,-0.00,0.00,0.02
0.446,-0.00,0.00,0.02
0.447,-0.00,0.01,0.02
0.449,-0.00,0.01,0.02
0.451,-0.00,0.00,0.02
0.453,-0.00,0.00,0.02
0.456,-0.00,0.00,0.02
0.459,-0.00,0.01,0.02
0.462,-0.00,0.01,0.02
0.463,-0.00,0.00,0.02
0.465,-0.00,0.00,0.02
0.469,-0.00,0.00,0.02
0.471,-0.00,-0.00,0.02
0.473,-0.00,0.00,0.02
0.476,-0.00,0.00,0.02
0.478,-0.00,0.00,0.02
0.48,-0.00,0.00,0.02
0.482,-0.00,0.00,0.02
0.485,-0.00,0.00,0.02
0.487,-0.00,0.00,0.02
0.489,-0.00,0.00,0.02
0.492,-0.00,0.00,0.02
0.494,-0.00,0.00,0.02
0.497,0.00,0.00,0.02
0.5,0.00,0.00,0.02
0.502,-0.00,0.00,0.02
0.504,-0.00,0.00,0.02
0.507,-0.00,0.00,0.02
0.509,-0.00,-0.00,0.02
0.512,-0.00,0.00,0.02
0.514,-0.00,-0.00,0.02
0.517,-0.00,0.00,0.02
0.52,-0.00,-0.00,0.02
