time,wx,wy,wz
0.003,0.00,0.00,-0.00
0.003,0.00,-0.00,-0.00
0.003,0.00,-0.00,-0.00
0.003,0.00,-0.00,-0.00
0.005,0.00,-0.00,-0.00
0.007,0.00,-0.00,-0.00
0.009,0.00,-0.01,-0.00
0.012,0.00,-0.01,0.00
0.014,0.00,-0.01,0.00
0.017,0.00,-0.01,-0.00
0.019,0.01,-0.01,0.00
0.022,0.01,-0.00,0.00
0.025,0.01,0.00,-0.00
0.033,0.01,0.01,0.00
0.034,0.01,0.01,-0.00
0.034,0.01,0.01,-0.00
0.034,0.00,0.01,-0.00
0.037,0.00,0.01,-0.00
0.039,0.00,0.01,-0.00
0.042,0.00,0.01,-0.00
0.044,0.01,0.01,-0.00
0.047,0.00,0.01,-0.00
0.049,0.00,0.00,-0.00
0.051,0.00,0.00,-0.00
0.054,0.00,0.00,-0.00
0.056,0.00,0.00,0.00
0.059,0.00,0.00,0.00
0.061,-0.00,0.01,0.00
0.064,-0.00,0.01,0.00
0.066,-0.00,0.00,0.00
0.068,0.00,0.00,0.00
0.071,-0.00,0.00,0.00
0.073,-0.00,0.00,0.00
0.077,-0.00,0.00,0.00
0.079,-0.00,0.00,0.00
0.082,-0.00,0.00,0.00
0.084,-0.00,0.00,0.00
0.086,-0.00,-0.00,0.00
0.088,-0.00,-0.00,0.00
0.090,-0.00,-0.00,0.00
0.098,-0.00,-0.01,0.00
0.098,-0.00,-0.01,0.00
0.098,-0.01,-0.00,0.00
0.101,-0.01,-0.00,0.00
0.103,-0.01,-0.00,0.00
0.105,-0.01,-0.00,0.00
0.112,-0.01,-0.00,0.00
0.112,-0.01,-0.00,0.00
0.116,-0.01,-0.00,-0.00
0.116,-0.01,-0.00,0.00
0.118,-0.01,-0.00,-0.00
0.120,-0.01,-0.00,0.00
0.123,-0.01,-0.01,0.00
0.127,-0.01,-0.01,0.00
0.129,-0.01,-0.01,0.00
0.131,-0.01,-0.01,0.00
0.133,-0.01,-0.01,0.00
0.135,-0.01,-0.00,0.00
0.138,-0.01,-0.00,0.01
0.140,-0.00,-0.00,0.00
0.143,-0.00,-0.00,0.01
0.145,-0.00,-0.00,0.00
0.148,-0.00,-0.00,0.00
0.150,-0.00,0.00,0.00
0.152,-0.00,0.00,0.00
0.155,-0.00,0.00,0.00
0.157,-0.00,0.01,0.00
0.160,-0.00,0.00,0.00
0.163,-0.00,0.00,0.00
0.165,-0.00,0.01,0.00
0.167,-0.00,0.01,0.00
0.170,-0.00,0.01,0.00
0.172,-0.00,0.01,-0.00
0.175,-0.00,0.00,-0.00
0.178,0.00,0.01,-0.00
0.180,0.00,0.00,-0.00
0.183,-0.00,0.01,-0.00
0.185,-0.00,0.01,-0.00
0.187,-0.00,0.01,-0.00
0.189,-0.00,0.01,-0.00
0.197,-0.00,0.01,-0.00
0.197,-0.00,0.01,0.00
0.197,0.00,0.00,0.00
0.199,-0.00,0.01,0.00
0.202,-0.00,0.01,0.00
0.204,-0.00,0.01,0.00
0.207,-0.00,0.01,0.00
0.209,-0.00,0.01,0.00
0.212,-0.00,0.00,0.00
