time,wx,wy,wz
0.002,0.00,-0.00,-0.01
0.002,-0.00,0.00,-0.01
0.002,0.00,-0.00,-0.01
0.002,-0.00,-0.00,-0.01
0.002,0.00,-0.00,-0.01
0.005,-0.00,0.00,-0.01
0.008,-0.00,-0.00,-0.01
0.01,-0.00,-0.00,-0.01
0.012,-0.00,0.00,-0.01
0.015,-0.00,0.00,-0.01
0.017,-0.00,0.00,-0.01
0.02,-0.00,-0.00,-0.01
0.022,-0.00,0.00,-0.01
0.031,0.00,-0.00,-0.01
0.032,-0.00,-0.00,-0.01
0.032,-0.00,0.00,-0.01
0.032,-0.00,-0.00,-0.01
0.034,-0.00,0.00,-0.00
0.037,-0.00,0.00,-0.01
0.04,-0.00,-0.00,-0.01
0.042,-0.00,0.00,-0.01
0.044,-0.00,0.00,-0.00
0.047,0.00,0.00,-0.00
0.05,0.00,-0.00,-0.00
0.053,-0.00,0.00,-0.00
0.055,-0.00,-0.00,-0.00
0.076,0.00,0.00,-0.00
0.077,0.00,-0.00,-0.00
0.077,0.00,-0.00,-0.00
0.078,-0.00,-0.00,-0.00
0.078,0.00,-0.00,0.00
0.078,0.00,-0.00,-0.00
0.079,0.00,0.00,0.00
0.079,0.00,-0.00,0.00
0.079,0.00,-0.00,0.00
0.082,0.00,0.00,0.00
0.082,0.00,-0.00,0.00
0.097,0.00,-0.00,0.00
0.098,0.00,-0.00,0.00
0.098,0.00,-0.00,0.00
0.098,0.00,-0.00,0.00
0.098,0.00,0.00,0.00
0.098,0.00,-0.00,0.00
0.102,0.00,-0.00,0.00
0.102,0.00,0.00,0.00
0.105,0.00,-0.00,0.00
0.107,0.00,-0.00,0.00
0.11,0.00,-0.00,0.00
0.112,0.00,0.00,0.00
0.114,0.00,-0.00,0.00
0.117,0.00,-0.00,0.00
0.12,0.00,-0.00,0.00
0.122,0.00,0.00,-0.00
0.126,0.00,-0.00,0.00
0.126,0.00,0.00,-0.00
0.129,0.00,-0.00,0.00
0.132,0.00,-0.00,-0.00
0.135,0.00,-0.00,-0.00
0.137,0.00,0.00,-0.00
0.14,0.00,-0.00,-0.00
0.142,0.00,-0.00,-0.00
0.145,0.00,-0.00,-0.00
0.146,0.00,-0.00,0.00
0.15,0.00,0.00,0.00
0.152,0.00,0.00,0.00
0.155,0.00,0.00,0.00
0.17,0.00,-0.00,0.00
0.171,-0.00,-0.00,0.00
0.171,0.00,0.00,0.00
0.171,0.00,0.00,0.00
0.172,-0.00,-0.00,0.00
0.172,0.00,-0.00,0.00
0.172,-0.00,0.00,0.00
0.176,0.00,0.00,0.00
0.176,-0.00,0.00,0.00
0.179,0.00,-0.00,0.00
0.184,0.00,-0.00,0.00
0.185,0.00,0.00,0.00
0.185,-0.00,0.00,0.00
0.189,-0.00,0.00,0.00
0.192,-0.00,-0.00,0.00
0.194,-0.00,0.00,0.00
0.195,-0.00,0.00,0.00
0.198,-0.00,-0.00,0.00
0.201,-0.00,-0.00,0.00
0.204,-0.00,0.00,0.00
0.21,-0.00,0.00,0.00
0.21,0.00,0.00,0.00
0.211,0.00,0.00,0.00
0.214,-0.00,0.00,0.00
0.216,-0.00,-0.00,0.00
0.218,0.00,0.00,0.00
0.221,0.00,0.00,0.00
0.226,0.00,-0.00,0.00
0.227,0.00,-0.00,0.00
0.23,0.00,-0.00,-0.00
0.23,0.00,0.00,-0.00
0.233,0.00,-0.00,0.00
0.235,0.00,-0.00,0.00
0.238,0.00,0.00,-0.00
0.242,0.00,-0.00,-0.00
0.243,0.00,-0.00,-0.00
0.246,0.00,-0.00,-0.00
0.248,0.00,0.00,-0.00
0.25,0.00,0.00,-0.00
0.253,0.00,-0.00,-0.00
0.256,0.00,-0.00,-0.01
0.271,0.00,0.00,-0.00
0.271,0.00,0.00,-0.00
0.272,0.00,-0.00,-0.00
0.272,0.00,0.00,-0.01
0.272,0.00,-0.00,-0.01
0.272,0.00,0.00,-0.00
0.272,0.00,0.00,-0.00
0.276,0.00,0.00,-0.01
0.278,0.00,0.00,-0.00
0.281,0.00,-0.00,-0.01
0.282,0.00,0.00,-0.01
0.284,0.00,0.00,-0.00
0.288,0.00,-0.00,-0.01
0.29,0.00,0.00,-0.01
0.293,0.00,-0.00,-0.01
0.295,0.00,-0.00,-0.01
0.297,-0.00,0.00,-0.01
0.303,-0.00,-0.00,-0.01
0.305,0.00,-0.00,-0.01
0.306,0.00,-0.00,-0.01
0.309,0.00,0.00,-0.01
0.31,0.00,-0.00,-0.01
0.314,0.00,-0.00,-0.01
0.314,0.00,0.00,-0.01
0.317,-0.00,-0.00,-0.01
0.319,-0.00,0.00,-0.01
0.322,-0.00,-0.00,-0.01
0.325,-0.00,-0.00,-0.01
0.327,-0.00,-0.00,-0.01
0.33,-0.00,0.00,-0.01
0.333,-0.00,-0.00,-0.01
0.334,-0.00,0.00,-0.01
0.337,-0.00,-0.00,-0.01
0.34,-0.00,-0.00,-0.01
0.342,-0.00,0.00,-0.01
0.344,-0.00,-0.00,-0.01
0.347,-0.00,0.00,-0.01
0.349,-0.00,0.00,-0.01
0.351,-0.00,0.00,-0.01
0.355,-0.00,0.00,-0.01
0.357,-0.00,0.00,-0.01
0.371,-0.00,-0.00,-0.01
0.372,-0.00,-0.00,-0.01
0.372,-0.00,-0.00,-0.01
0.372,-0.00,-0.00,-0.01
0.372,-0.00,0.00,-0.01
0.372,-0.00,-0.00,-0.01
0.373,-0.00,-0.00,-0.01
0.376,-0.00,0.00,-0.01
0.38,-0.00,-0.00,-0.01
0.38,-0.00,-0.00,-0.01
0.383,-0.00,0.00,-0.01
0.385,0.00,-0.00,-0.01
0.389,-0.00,-0.00,-0.01
0.392,-0.00,-0.00,-0.01
0.395,-0.00,-0.00,-0.01
0.398,-0.00,-0.00,-0.01
0.399,0.00,-0.00,-0.01
0.4,-0.00,-0.00,-0.01
0.403,-0.00,-0.00,-0.01
0.406,0.00,0.00,-0.01
0.408,-0.00,0.00,-0.01
0.411,0.00,0.00,-0.01
0.412,0.00,-0.00,-0.01
0.415,0.00,-0.00,-0.01
0.418,0.00,-0.00,-0.01
0.42,0.00,0.00,-0.01
0.423,0.00,0.00,-0.01
0.425,-0.00,-0.00,-0.01
0.429,-0.00,0.00,-0.01
0.43,-0.00,-0.00,-0.01
0.433,-0.00,0.00,-0.01
0.436,0.00,-0.00,-0.01
0.438,0.00,-0.00,-0.01
0.441,0.00,0.00,-0.00
0.444,0.00,-0.00,-0.01
0.445,0.00,0.00,-0.00
0.449,0.00,-0.00,-0.01
0.45,0.00,-0.00,-0.00
0.452,-0.00,0.00,-0.00
0.455,-0.00,0.00,-0.00
0.466,-0.00,0.00,-0.00
0.468,-0.00,-0.00,-0.00
0.468,-0.00,0.00,-0.00
0.469,0.00,-0.00,-0.00
0.469,-0.00,0.00,-0.00
0.469,0.00,0.00,-0.00
0.472,-0.00,-0.00,-0.00
0.481,-0.00,0.00,0.00
0.482,-0.00,-0.00,-0.00
0.483,-0.00,-0.00,-0.00
0.483,-0.00,-0.00,0.00
0.484,-0.00,0.00,0.00
0.487,-0.00,0.00,0.00
0.489,-0.00,0.00,-0.00
0.492,-0.00,-0.00,0.00
0.494,-0.00,-0.00,0.00
0.498,-0.00,-0.00,0.00
