time,wx,wy,wz
0.001,-0.01,0.00,0.00
0.002,-0.01,0.00,0.00
0.002,-0.01,0.00,0.00
0.002,-0.01,0.00,0.00
0.002,-0.01,0.01,0.00
0.004,-0.01,0.00,0.00
0.007,-0.01,0.01,0.00
0.010,-0.01,0.01,0.00
0.012,-0.01,0.00,-0.00
0.014,-0.01,0.01,-0.00
0.018,-0.01,0.01,-0.00
0.020,-0.01,-0.00,-0.01
0.023,-0.01,-0.00,-0.01
0.024,-0.01,-0.01,-0.01
0.028,-0.01,-0.01,-0.01
0.030,-0.01,-0.01,-0.01
0.033,-0.01,-0.00,-0.01
0.035,-0.01,0.00,-0.01
0.038,-0.01,0.00,-0.01
0.040,-0.01,0.00,-0.01
0.043,-0.01,0.00,-0.01
0.045,-0.01,0.00,-0.00
0.047,-0.01,-0.00,-0.01
0.050,-0.01,-0.00,-0.01
0.052,-0.01,-0.01,-0.01
0.054,-0.01,-0.01,-0.01
0.056,-0.01,-0.01,-0.01
0.060,-0.01,-0.00,-0.01
0.063,-0.00,-0.01,-0.01
0.066,-0.00,-0.00,-0.01
0.067,-0.00,-0.00,-0.01
0.070,0.00,-0.00,-0.01
0.073,0.00,-0.00,-0.01
0.075,0.00,-0.00,-0.01
0.085,0.00,-0.01,-0.01
0.086,0.01,-0.01,-0.01
0.086,0.01,-0.01,-0.01
0.086,0.01,-0.01,-0.01
0.086,0.01,-0.01,-0.01
0.090,0.01,-0.01,-0.01
0.094,0.01,-0.01,-0.01
0.094,0.01,-0.01,-0.01
0.098,0.01,-0.01,-0.01
0.099,0.01,-0.01,-0.01
0.102,0.01,-0.01,-0.01
0.104,0.01,-0.00,-0.01
0.108,0.00,-0.00,-0.01
0.110,0.00,-0.01,-0.01
0.112,0.00,-0.01,-0.01
0.114,0.00,-0.00,-0.01
0.116,0.00,-0.00,-0.01
0.119,0.00,-0.00,-0.01
0.122,-0.00,0.00,-0.01
0.124,-0.00,-0.00,-0.00
0.128,-0.00,0.00,-0.00
0.129,-0.00,-0.00,-0.00
0.131,-0.00,-0.00,-0.00
0.134,0.00,-0.01,-0.00
0.136,0.00,-0.01,-0.00
0.139,0.00,-0.00,-0.00
0.144,0.00,-0.00,-0.00
0.144,0.00,-0.00,-0.00
0.147,0.00,-0.00,-0.00
0.149,0.01,-0.00,-0.00
0.151,0.01,0.00,-0.00
0.153,0.01,0.00,-0.00
0.156,0.01,-0.00,-0.00
0.158,0.01,0.00,-0.00
0.161,0.01,0.00,0.00
0.163,0.01,0.00,0.00
0.165,0.01,-0.00,0.00
0.168,0.01,-0.00,0.00
0.172,0.01,-0.00,0.00
0.174,0.01,-0.00,0.00
0.190,0.01,-0.00,0.00
0.191,0.01,0.00,0.00
0.191,0.01,-0.00,0.00
0.191,0.01,0.00,0.00
0.191,0.00,0.00,0.00
0.191,0.01,-0.00,0.00
0.192,0.01,-0.00,0.00
0.195,0.00,-0.00,0.00
0.195,0.00,-0.00,0.01
0.198,0.00,-0.00,0.01
0.200,0.00,-0.00,0.00
0.203,0.00,-0.00,0.00
0.206,0.00,0.00,0.00
0.210,0.00,-0.00,0.00
0.212,0.00,-0.00,0.00
0.213,0.00,-0.00,0.01
0.215,0.00,-0.00,0.01
0.218,0.00,-0.00,0.01
0.220,0.00,-0.00,0.01
0.223,0.00,-0.00,0.01
0.228,0.00,-0.00,0.01
0.230,0.00,0.00,0.01
0.230,0.00,0.00,0.01
0.233,-0.00,0.00,0.01
0.235,-0.00,0.00,0.01
0.237,-0.00,0.00,0.01
0.240,0.00,0.00,0.01
0.242,-0.00,0.01,0.02
0.245,-0.00,0.01,0.02
0.247,-0.00,0.01,0.02
0.251,-0.00,0.00,0.02
0.252,-0.00,0.01,0.02
0.255,0.00,0.01,0.02
0.257,0.00,0.00,0.02
0.260,-0.00,0.01,0.02
0.264,-0.00,0.00,0.02
0.264,0.00,0.01,0.02
0.267,0.00,0.00,0.01
0.270,0.00,0.00,0.01
0.272,0.00,0.00,0.01
0.275,0.00,0.00,0.01
0.287,0.00,-0.00,0.01
0.288,0.00,0.00,0.01
0.288,0.00,0.00,0.01
0.288,0.01,-0.00,0.01
0.288,0.01,-0.00,0.01
0.290,0.01,-0.00,0.01
0.291,0.01,-0.00,0.01
0.296,0.01,-0.01,0.01
0.296,0.01,-0.00,0.01
0.299,0.01,-0.00,0.01
0.301,0.01,-0.01,0.01
0.304,0.01,-0.00,0.01
0.307,0.01,-0.01,0.01
0.310,0.01,-0.01,0.01
0.312,0.01,-0.01,0.01
0.313,0.01,-0.00,0.01
0.316,0.01,-0.01,0.01
0.319,0.01,-0.01,0.01
0.322,0.01,-0.01,0.01
0.324,0.01,-0.01,0.00
0.328,0.01,-0.01,0.00
0.330,0.01,-0.01,0.01
0.332,0.01,-0.01,0.00
0.333,0.01,-0.00,0.00
0.336,0.01,-0.00,0.00
0.339,0.01,-0.00,0.00
0.341,0.01,-0.00,0.00
0.344,0.01,-0.00,0.00
0.347,0.01,-0.00,0.00
0.349,0.01,-0.00,0.00
0.351,0.01,-0.00,0.00
0.353,0.01,0.00,0.00
0.356,0.01,0.00,0.00
0.358,0.01,-0.00,0.00
0.361,0.00,0.00,0.00
0.364,0.00,-0.00,0.00
0.366,0.00,-0.00,0.00
0.369,0.00,0.00,0.00
0.371,0.00,0.00,0.00
0.374,0.00,0.00,0.00
0.380,-0.00,0.00,0.00
0.381,-0.00,0.00,0.00
0.383,0.00,-0.00,0.00
0.384,-0.00,0.00,0.00
0.386,-0.00,0.00,0.01
0.388,-0.00,0.00,0.00
0.390,0.00,0.00,0.01
0.394,-0.00,0.00,0.00
0.395,-0.00,0.00,0.01
0.398,-0.00,0.00,0.01
0.400,0.00,0.00,0.00
0.402,0.00,0.00,0.00
0.406,0.00,0.00,0.00
0.411,0.00,0.00,0.00
0.411,0.00,0.00,0.00
0.413,0.00,-0.00,0.00
0.415,0.01,-0.00,0.00
0.418,0.00,0.00,0.00
0.420,0.01,0.00,0.00
0.423,0.00,-0.00,0.00
0.425,0.01,-0.00,-0.00
0.428,0.01,-0.00,-0.00
0.431,0.01,-0.00,0.00
0.433,0.01,-0.00,-0.00
0.435,0.01,-0.00,-0.00
0.437,0.01,-0.00,-0.00
0.439,0.01,-0.01,-0.00
0.442,0.01,-0.01,-0.00
0.444,0.01,-0.01,-0.00
0.447,0.01,-0.01,0.00
0.450,0.01,-0.01,0.00
0.452,0.01,-0.01,0.01
0.454,0.01,-0.01,0.00
0.457,0.01,-0.01,0.00
0.460,0.01,-0.01,0.00
